"Guid","PDRI__Action__c","PDRI__ComparisonView__c","PDRI__FilterType__c","PDRI__FilterValue__c","PDRI__ParentRule__c"
37f49fb4-ef32-4510-96ba-bbd154a3878a,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Territory2Settings,"#N/A"
38248373-013f-4564-a56e-164124821479,Include,0345fefd-99ec-4142-a67a-791501aaec4e,Component_Type,CustomObject,"#N/A"
384cbcd5-2318-4784-a464-9593ecb0ffd4,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ServiceSetupAssistantSettings,"#N/A"
388d71f4-70fa-444c-9ceb-385b14697202,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Index,"#N/A"
38a2d52e-045c-45ed-bc7b-4d754c90a3a3,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ServiceAISetupField,"#N/A"
38c5464a-928f-4096-9c06-c17dfae22b1a,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SamlSsoConfig,"#N/A"
38f6d601-c37e-49f2-887a-e4d6392a46b6,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FlowDefinition,"#N/A"
392882bc-1f86-421b-b6a2-e4b73149e6e3,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CustomObjectTranslation,"#N/A"
3949714a-3ac8-4a31-bd46-d5662f1c4994,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,TrialOrgSettings,"#N/A"
3a689810-0a81-41f0-bb76-0139a2d966d5,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FeatureParameterDate,"#N/A"
3a82a874-e1d3-417b-8778-ee440f9c7be5,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ApexEmailNotifications,"#N/A"
3c8cd080-18a2-4645-bcd0-7c87f4714ef5,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EmailServicesFunction,"#N/A"
3ca144b3-2b89-4c53-8787-3d7bd6d5e206,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ProductSettings,"#N/A"
3f7c1292-e081-4e85-9769-56fa21717f3f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Report,"#N/A"
3f92141b-4b1f-46c5-8134-4360eb7340c8,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,IndustriesLoyaltySettings,"#N/A"
3fc5a9c6-d830-4a98-9b8a-9ab798a35508,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SalesWorkQueueSettings,"#N/A"
3ffff0fd-71fa-4f71-9221-00a8822407e3,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DocumentFolder,"#N/A"
4044e21a-db17-4e57-8e64-62daa2d0c82f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DataMapping,"#N/A"
404d1957-38f1-450a-ab2f-f720e4671f48,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,OauthCustomScope,"#N/A"
40ec33f9-c8bc-4891-875e-daaaa152a75f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MailMergeSettings,"#N/A"
41098e7b-0ec5-4982-8582-991270436866,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ViewDefinition,"#N/A"
41254ba8-ac6b-4f59-a74e-c32be4972c64,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SvcCatalogFulfillmentFlow,"#N/A"
4156b138-0f87-400c-ae45-9c09d51f180d,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ContentAsset,"#N/A"
41730040-ba35-4864-90eb-1d3c91329973,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,IndustriesManufacturingSettings,"#N/A"
42687bda-5527-4c85-b2d7-26f2e8c659b2,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SharingReason,"#N/A"
426eebba-15d9-49bc-b07c-48abc9179375,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,LightningMessageChannel,"#N/A"
43266128-9e86-4402-8f40-2eaf149de231,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Prompt,"#N/A"
437408a3-c44e-460c-ab71-50c55011feee,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SocialCustomerServiceSettings,"#N/A"
43850608-43d7-451a-849f-942c09e82e4d,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WaveLens,"#N/A"
44787438-0bf5-4930-b5a5-455e44b7b6c8,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WaveXmd,"#N/A"
449df071-0c24-4abe-9443-1513ccb4b534,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ListView,"#N/A"
4531a2d2-46a8-492a-b2c8-b933fe0c616e,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EmbeddedServiceLiveAgent,"#N/A"
45c5517d-3f1c-4740-b420-f7c363bc7901,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SourceTrackingSettings,"#N/A"
461faf71-6de7-419a-b08a-53704cb9cd81,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DataCategoryGroup,"#N/A"
46289333-e0c3-43b9-95af-1ffdd885012e,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FeatureParameterBoolean,"#N/A"
468d58c3-9255-4134-9963-bf003c73e511,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,NotificationTypeConfig,"#N/A"
476cb228-d6b5-45b1-9365-5e1127de1f07,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Territory2Rule,"#N/A"
482c6b31-0594-4b42-9f79-3df322c7d402,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,BlockchainSettings,"#N/A"
48be2f72-e496-4fca-b44d-865a76285ea2,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CanvasMetadata,"#N/A"
4916dc2c-0e29-4a03-991f-e2942667e57e,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,NamedCredential,"#N/A"
4925447c-5e60-4909-9b33-a4fddeaa6692,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,HomePageComponent,"#N/A"
4992aa2e-b6db-461e-a29a-95c808f964f8,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,TimeSheetTemplate,"#N/A"
4a1b1ae9-7d1f-4f03-92c5-accf9a33d237,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,VehAssetEnrgyUseCnfg,"#N/A"
4a42a219-fb9c-4dc2-8fb7-cf9d6029dab2,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CustomTab,"#N/A"
4a9b5ddc-26b3-4764-a00a-4f78f1acfdda,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ReportType,"#N/A"
4b082ff5-bd22-4f2d-bad0-3b369be0ec64,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WorkflowAlert,"#N/A"
4badc189-3503-4c7f-84f6-c68945074b51,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DecisionTable,"#N/A"
4beeae97-2598-41c6-8785-623dc69505ff,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,LightningComponentBundle,"#N/A"
4c48e04a-aa74-4179-b257-5bc6f744518d,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,HomePageLayout,"#N/A"
4d2b179a-beef-45bf-a9b7-76d71a65abfb,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,GlobalValueSet,"#N/A"
4d2d6ee8-23a8-48c4-9537-9c95cd8d08e3,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,PathAssistant,"#N/A"
4dd4d975-2e50-43f7-b990-da69d61bc281,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,ApexPage,"#N/A"
4dfd1259-7f2e-47d5-aca1-d996bebe2f11,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EmbeddedServiceMenuSettings,"#N/A"
4e25d747-0cb5-4423-84e7-0ff6a16c7252,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CustomApplicationComponent,"#N/A"
4e643775-6f2b-4780-ae46-454587731c10,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AuraDefinitionBundle,"#N/A"
502aa851-5f13-4c24-a1a9-51c22ac5f20a,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,CustomLabels,"#N/A"
50af7c6e-5c4c-411f-996a-fc520422570a,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AdvAccountForecastSet,"#N/A"
50e20699-d0b4-407a-8853-8fe34cafc840,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FieldServiceMobileExtension,"#N/A"
510d6cdf-d7b8-463f-be87-fda35372733c,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,LightningExperienceTheme,"#N/A"
513ddfd9-394e-4d37-8111-52c176511882,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ForecastingTypeSource,"#N/A"
516e5ed5-7ded-459b-a1dc-7235abfc077a,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WaveDashboard,"#N/A"
51c96acd-2380-41fe-9965-3fce8e6e6e12,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,OrderManagementSettings,"#N/A"
53225b3b-3a45-4e99-b35e-8f88b082051e,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,CustomApplicationComponent,"#N/A"
53d8b680-b7b4-46bf-a53f-5a3304f7b5c7,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DevHubSettings,"#N/A"
549893ca-c9ad-4992-9d3f-d65063243948,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,TransactionSecurityPolicy,"#N/A"
550172fc-5fc0-4e93-9377-259fd48b27cc,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ConnectedApp,"#N/A"
55f7d9c9-85de-4a72-8ffe-a2e6317ab1a7,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,RemoteSiteSetting,"#N/A"
562313d5-bbe1-42ce-b387-2b500ddd8564,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,KeywordList,"#N/A"
56c81085-4333-47dd-8dc0-ce3c7841b97c,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MLDataDefinition,"#N/A"
577ce37b-1d65-4655-b06d-12237cfce3bc,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,BotSettings,"#N/A"
58a7ddf6-22e9-41a2-a09e-c3b18a5ea86f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EntityImplements,"#N/A"
